SLC7A2,PRSS3,PHF21B,FGF10,EPHA8,TRPM5,SLC6A15,PTGS2,SPAG6,SLC4A4,IL12RB2,PGR,OPRK1,NKAIN1,CHGB,ESR1,KRT31,IGFALS,SEZ6L,CABP7,PVALB,COCH,CHGA,RIMS4,PRSS33,SLC6A2,OCA2,TGM5,EPHX3,TFPI2,RLN2,ATRNL1,RUNDC3A,KRT37,SLC6A4,CWH43,NMU,CCKBR,RBM24,STC2,PEX5L,CCL20,KISS1R,TPSG1,CA14,GRIA2,CHRNA2,MATN4,C20orf85,EREG,SCGB1D2,SCGB2A1,PCSK2,TNNI3,NXNL2,BARX1,RTBDN,RGS22,MYBPH,BEX1,GSTM5,CSN2,CGA,KRT121P,EMX1,PAX3,SCEL,CHAD,FGFBP1,SIX3,PCDH10,BMPR1B,ASCL1,SSTR1,NOVA1,HDC,RHCG,CHST4,CBLN2,IL19,FBN3,KLK3,HORMAD1,SCN1A,UNC80,TRPM8,AGTR1,AC062028.1,GLRA3,SLC25A48,GFRA3,ARHGAP36,MAGEA4,RGR,DRD2,MKX,SPATA4,FSIP1,GFRA1,TUBA3E,OLAH,CPB1,ANKFN1,MAGEC1,ART3,SLC28A1,DPYSL5,GRIN2C,DCD,IL20,IL24,KCNF1,NEK10,CXCL5,NPY1R,CARTPT,SLC30A8,CSMD3,GPER1,CPA6,NELL1,KCNC2,ACSM1,MS4A8,B4GALNT2,TMEM145,KLK2,TBX10,TEKT1,GDNF,NSG2,SERPINA6,CST5,CST2,VSTM2A,KRT86,TRH,PROL1,CSN3,NLRP5,FGA,FGB,C11orf86,CST9,AGR3,KCNH6,IGDCC3,VWA3A,SCUBE2,PCSK1,FOXG1,BDNF,TRIM72,RP11-551L14.1,NEUROG2,C1orf173,RNF182,MUC16,GPR88,SLITRK6,NPY2R,KRT6B,LEMD1,SERPINA11,CDHR4,TCL6,DMBT1,TPRG1,HBA2,FZD9,FAM196A,DPY19L2P1,MYBPC1,LINC00238,POTEI,GATA3-AS1,CYP2A7,ANTXRL,CTC-490E21.13,MAGEA1,COLGALT2,MUC2,BRINP2,SNORA73B,RN7SK,POTEKP,C6orf15,KRTAP5-10,CD177,PRSS1,AC005863.1,MT1H,HBA1,RNU6-813P,IGLV1-36,IGLV2-18,IGLV3-9,IGHE,IGHV4-4,IGHV2-5,IGHV3-66,SNORD17,UCA1,CYP4F30P,AC079776.2,MAGEA3,RP11-465B22.5,IGKV3D-15,GS1-18A18.1,LINC01087,LINC00393,RP11-120J1.1,IGHV3-72,MTND1P23,HAR1A,RP11-148B18.3,CES1P1,NKX1-2,ELOVL2-AS1,RP11-379F12.4,PHGR1,RP1-269M15.3,DSCAM-AS1,DPY19L2P4,AC018816.3,Z82214.3,CLEC2L,HNRNPA1P57,AC093642.3,LINC00707,CYP4F62P,CPHL1P,FAR2P3,SLC25A24P1,ABCC13,TUBA4B,HBB,RP11-10A14.5,RP11-53O19.2,RP11-473L15.3,CASC16,LINC01016,RP11-434D9.1,RP11-168E14.1,AACSP1,RP11-53O19.1,AC005355.2,AC145110.1,IGHEP1,CTB-33O18.1,CTA-392C11.1,CTB-33O18.3,RP11-730G20.1,CTB-33O18.2,RP11-865I6.2,RP11-758M4.1,RMST,RP11-817J15.3,CYP2A6,CYP2B7P,RPPH1,CTD-2033D15.1,TPSP2,RP11-616M22.7,DLGAP1-AS5,RP11-708H21.4,MIR3687,MIR3648,MAPT-AS1,RP11-260A9.6,FEM1AP2,RP11-260A9.4,RP11-116O18.1,RP11-13K12.1,SCGB1B2P,AC092071.1,BX072566.2,RMRP,PGR.log2.tpm,ESR1.log2.tpm,ERBB2.log2.tpm
402,0,1,12,0,1,0,11,2,6,7,85,0,33,2,7304,4,43,4,2,7,10,2,8,2,0,0,4,33,4,5,75,35,120,6,0,2,0,6,1100,0,11,518,3,21,0,2,8,0,16,123138,3313,9,12,98,3,269,2,15,2,81,307,33,70,11,2,0,1327,1,15,2,254,1,5,24,89,14,20,23,12,564,2,2,33,2,7,27,52,0,50,29,3,109,0,8,19,0,49,455,11,1,993,200,2,5,13,0,6,64,10,2,1522,132,0,35,14,47,6,43,5,0,0,54,54,187,125,0,13,1,9,3,0,12,69,0,174,227,0,37,0,1,12,55,0,4399,3,3,47,253,30,3,9,474,14,0,7,5,33,2,5678,0,161,4,153,60,4,27,546,17,3,7,2,40,6,76,740,20,70,88,0,22,64,2823,48,160,619,4,26,5,0,1,8,0,9,82,33,177,2127,59,177,3,43,13,107,16,0,20,37,1,180,0,13,52,73,6,4,132,0,2,178,11,53,5723,0,531,2,2,6,158,0,109,461,278,1,0,6,86,4,0,1,33,2,55,2,4,17,4,221,106,2,1361,0,0,0,2,3,6,4,1221,22678,57,5,1051,227,5,52,55,70,0,0,10,0,5,4,36,157,0,28,-1.806,4.736,10.597
1136,6,15,97,1,1,4,47,11,36,1273,455,0,41,17,1256,1,29,16,2,6,27918,29,64,0,74,17,222,50,165,18,8,15,0,1,21,29,33,31,4649,1,291,15,7,0,27,1,21,0,7,299,15,0,0,25,91,3,31,16,26,923,178,6,1,0,4,0,278,9,715,0,17,12,38,218,158,456,28,2,1,15,176,31,0,4,5,139,1,21,10,242,63,1817,10,42,14,3,31,508,0,64,412,7,0,229,5,7,32,3,4,0,3,128,137,431,2,2,0,125,11,0,55,19,0,0,6,69,4,0,0,3,3,0,74,0,134,2,31,221375,20,0,3,0,4,136,0,6,8,1395,18,0,1,0,37,17,22,39,110,6,124,3,6302,290,29,5,27,3,263,508,255,30,0,466,0,0,113,5,4,0,0,240,3,12,84,101,17,422,15,14,0,13,1436,43,0,96,73,113,9,471,3004,310,16,1,0,12,1230,6,167,0,16,94,17,149,86,21,2,33,17,2,8,39,2,1,29,17,2,1326,0,110,6,0,84,0,0,0,2,1792,3152,0,3,0,31,3,0,3,50,10,24,0,5,2,1,1,0,6,1,21,18,1,32,16,1,10,7,5,6,26,37,12,0,2,0,1,9,21,2,0,9,0.387,2.012,5.311
1069,1,407,20,11,13,4,20,8,30,733,155,0,8090,3,46860,1,63,29,6,83,47,0,1892,0,0,0,4,23,66,12,39,85,14,6,0,88,0,154,2438,237,53,9,2,0,7,0,46,0,2,184,45,1,70,38,10,28,172,1,6,37,0,52,5,25,3,2,2222,0,1,11,73,8,21,19,39,26,4,13,65,10,0,10,0,6,0,26,11,1,1,5,106,0,2,16,8,10,92,280,236,0,13,24,0,6,47,2,12,0,355,27,108,54,30,1078,0,34,110,156,25,0,2,361,23,25,72,2,12,0,6,5,970,10,13,1,200,164,1,0,0,0,0,0,0,17,13,446,53,3308,15,2,2,0,156,36,12,45,143,3,4,1,21,0,369,2,9783,0,155,67,28,19,9727,20,0,74,1284,22,42,1,1,55,54,6,63,235,2139,0,73,43,300,0,12,127,465,37,183,1384,528,172,1551,54,37,186,5,42,0,4,252,0,558,0,0,1827,40,17,1,94,0,52,251,13,3,355,0,19,1,2,301,129,1,0,1650,6,9,0,0,209,1,2,0,1,11,22,0,2197,13,0,31,13,84,0,9,19,37,6,5,40,0,1874,1376,58,7,61,81,50,10,49,38,8,0,1,0,5,90,15,22,38,23,-1.028,7.349,8.466
274,154,5,18,0,1,78,99,16,20,773,393,205,122,10,1411,10,268,4,3,7,19,7,70,30,31,271,53,32,251,29,28,35,0,12,10,75,492,52,3476,2,254,13,2,5,2,4,65,0,26,20,30,43,5,194,95,6,22,17,0,57,67,3,64,2,262,24,18,126,51,2,165,5,3,58,110,288,8,17,1,1456,0,923,22,3,28,47,11,24,12,26,0,48,20,71,67,1,12,142,0,12,3,7,2,1777,34,50,6,1,4,2,582,60,241,206,0,7,0,42,29,0,1,42,1,176,20,10,0,0,11,7,9,1,125,1,301,4,2,1053,0,29,31,37,0,23,0,6,16,555,24,56,5,8,1939,0,22,36,19023,6,372,0,8237,91,3,0,21,6,211,137,269,25,21,7116,0,0,131,0,2,0,0,67,0,12,75,56,7,74,16,79,85,54,81,10,0,141,92,978,15,346,919,29,7,48,1,2,3,0,181,0,3,28,14,301,31,18,1,1,16,1,30,1,1,3,0,67,0,128,1,70,51,0,21,0,6,2,1,448,41,0,0,0,3,3,0,2,21,7,50,0,3,0,0,0,0,11,0,1,109,4,29,34,2,38,28,43,66,23,24,0,0,2,0,4,329,21,0,1,3,0.532,2.536,6.02
1471,0,101,17,284,80,3,12,3,6,15,2972,1,10363,17,21935,6,182,3,6,11,159,37,20017,0,1,1,5,27,4056,59,5183,83,8,6,0,8,2,433,6180,1,7,104,17,15,8,0,22,3,61,21,7,1,198,172,24,24,132,3,17,92,4,64,0,3,4,10,2229,0,4,5,89,3,23,135,70,4,0,1,4796,14,0,17,1,4,2,46,32,2837,1,87,666,0,0,5,16,11,1533,24535,25,0,730,9,1,5,8,2,34,0,3003,327,71,130,0,1025,59,163,0,633,1497,0,1238,126,84,50,79,0,0,8,2,8,24,0,195,1,46,23,1,4,2,3,3,0,98,9027,4,249,63,55735,79,1,24,2,36,1,123,16,1019,7,126,1,128,6,257,9,3,3,426,82,44,7,5,4,0,59,208,15,0,0,22,36,91,24,145,67,1215,0,14,45,5,0,10,25,49,22,53,184,198,16,168,14,43,8,0,63,513,38,24,1,574,0,3,160,132,13,4,7,0,113,70,750,0,648,6,26,1417,6,1,74,0,0,235,1,52,429,0,314,0,62,0,13,363,111,1,16,13,30,5,68,608,16,33,11,74,33,15,193,1,81,151,15,285,542,77,0,57,57,58,20,22,1,13,0,6,22,0,0,9,3.188,6.237,6.113
19334,0,5492,161,74,2,7,16,219,20,10,150,0,1589,4396,2123,1,1335,34,1514,243,33,22765,4289,0,1,2,6,29,25,4,5,11860,0,0,1,15,0,15,210,331,14,2,8,14,298,1,5,0,0,678,21,1690,276,14,4,8859,118,0,4881,77,3,140520,1,10,22,0,293,0,3,66,15133,22,56,5119,3091,1,2,3,2,5,0,0,14,964,3,166,0,2,11,20,2,0,0,409,31,33,491,313,7,0,439968,12,0,5,1,7,4077,1,2,3,13,104,9,37,79258,49841,0,13061,8,0,20,7,23,1,7206,8,3,0,28,76,60,2,46,2,3,4,0,0,77,1,1,1,2,3319,549,9,9,1384,62031,0,8,3,876,0,30,304,12,10,15552,1,48,1,152,3,2,6,3753,54,103,32,497,118,23,0,3557,3,0,0,11,38,5,5,24,107,10,2,49,1158,4,0,0,5,0,59,4,96,5,6,23,1,10,3,2,3,3,4,5,0,11,0,1,28,72,2015,0,0,0,2,960,1347,3,30,1,901,6,6,6,45,0,1,24,8,12,211,2,207,0,0,1,0,14,0,286,7,57,2,3,0,0,1,0,0,0,3,4,3,1,1,131,18,79,1067,220,6,0,18,22,63,0,70,2,1037,56,77,1,1,7,-0.883,3.083,5.391
1043,7,9,66,0,3,1,38,5,15,57,317,0,390,34,1229,0,20,7,3,5,83,83,16,0,17,6,82,43,175,13,9,13,1,35,6,40,0,10,3498,9,52,6,28,1,25,693,177,2,2,636,34,3,26,30,26,0,13,6,55,448,0,3,7,13,2,1,227,23,14,2,41,10,38,284,2705,156,6,1,2,26,299,3,0,9,1,76,11,13,7,19,14,48,9,82,5,8,219,3044,0,0,474,163,29,8,30,2,20,101,14,0,36,256,30,65,10,469,0,119,31,2,118,725,0,15,16,164,243,4,1,40,134,1,41,7,61,12,0,0,6,9,115,31,3,115,1,28,20,4583,30,0,3,9,12,42,19,13,122,13,126,33,55,1,59,1,26,10,391,283,24,15,0,10128,0,6,76,20,2,0,3,49,30,5,108,154,275,14,106,5,2,9,1,15,2,111,61,176,71,219,101,25,88,13,7,30,1,30,45,1,78,0,10,98,190,25,0,1072,2,2,16,71,7,95,3,242,79,13,0,729,4,9,11408,12,0,1,1,833,3,3,0,1,22,0,1,5,53,22,12,613,149,0,1,0,5,1,1,14,6,77,122,249,58,81,14,16,7,284,355,4,0,0,0,1,22,104,0,3,15,-0.06,2.051,10.679
2522,10,32,254,4,4,103,175,13,87,324,297,0,50,40,1092,1,6,4,1,9,204,44,36,12,64,32,81,78,360,53,105,105,0,13,50,137,13,51,2524,9,53,9,10,13,15,6,26,0,5,108,9,49,2,26,229,0,71,12,67,544,0,4,1,4,23,24,58,40,91,9,50,2,58,482,424,67,13,13,16,315,1,111,1,3,16,380,5,0,44,89,0,0,14,24,63,10,34,1690,0,5,185,44,0,67,4,74,306,10,2,0,24,317,17,305,1,6,1,290,28,11,0,45,0,2,49,21,0,0,24,8,0,14,145,2,165,1,926,13,15,0,17,0,1,216,1,62,24,2767,140,36,5,8,220,15,4,77,716,36,91,38,1444,148,32,19,42,16,366,175,64,4,84,61,0,2,86,0,5,0,0,132,0,32,30,113,22,158,12,5,21,0,5,16,0,31,11,72,44,71,182,6,7,57,1,15,0,20,227,0,5,24,21,14,139,39,3,7,10,2,10,1,0,2,23,43,0,22,0,128,347,0,71,6,1,1,0,509,4,1,5,3,1,24,0,0,48,12,15,7,10,0,1,3,0,35,0,5,197,8,34,37,6,3,2,16,1,24,5,1,0,0,0,9,46,27,0,1,33,-0.14,1.893,4.9
1533,10,12,131,6,6,1,34,5,28,33,770,1,772,4,4906,6,17,10,9,7,48,27,2003,4,19,7,36,23,305,18,28,23,0,8,61,30,6,20,1761,0,32,5,14,3,14,0,7,0,25,11897,10602,9,17,41,17,1,30,5,55,350,0,0,0,2,5,18,1172,12,15,20,69,1,35,381,899,34,3,63,13,34,20,7,11,5,4,258,4,46,19,29,465,0,8,184,61,3,45,12467,35,2,144,18,0,12,11,15,18,49,7,1,53,91,18,158,0,4,35,204,55,0,81,71,39,620,38,11,26,0,10,1,21,0,15,28,95,19,30,2,12,4,91,0,9,617,2,24,11,1487,20,0,5,8,87,36,46,3,182,10,781,39,1269,3,813,13,45,83,203,756,25,43,0,251,0,32,38,0,2,19,0,146,1,13,83,69,758,14,19,43,4,1,4,113,16,425,21,173,446,326,302,4,17,12,5,45,0,28,176,1,171,0,16,88,55,24,9,1,1,1,3,14,0,76,14,106,0,8,17,154,1,21,199,23,27,0,0,2057,0,0,7,2,20,11,0,4,111,19,13,2099,7,4,0,2,2,0,3,19,152,7,4606,50,14,5,8,5,192,19,6,5,0,3,0,2,30,27,36,0,6,1.357,4.191,10.405
887,2,7,360,11,2,2,14,12,13,30,312,1,753,3,36534,15,238,11,2,16,30,10,78,0,1,2,4,35,16,15,29,23,22,148,0,0,1,25,5631,79,13,298,122,92,1,0,9,0,4,7873,692,3,3,244,28,2,432,17,95,113,2,66,2,5,39,1,2077,0,72,36,202,2,13,94,4897,0,1,78,234,1,0,1,14,7,5,127,4,0,363,5,8,1,0,7,1733,3,594,6127,4,0,274,1,33,8,37,0,5,0,24,2,168,348,1,13201,56,42,0,377,320,0,38,32,12,796,48,10,8,0,54,9,9,10,45,7530,20,62,1,4,0,0,0,0,59,6903,0,32,11,18348,57,3,62,12,28,1,1,22,237,16,17411,0,20,1,131,4,46,6,877,126,15,52,1,12,4,65,924,2,1,0,1,29,10345,5,25,98,934,2,38,54,1,0,4,4,228,145,110,235,16,36,1019,6,14,21,64,4,608,185,29,166,519,0,7,202,29,41,70,0,0,4,380,162,4,4414,194,249,115,6,7,880,2,61,1191,115,136,0,0,406,2,3,154,76,0,5,0,3,887,123,18,4,34,154,7,180,9,2,76,1,2,21,236,51,168,385,85,1,201,15,9,1,0,4,0,5,18,16,2,0,13,0.187,7.213,8.799
