Act.CD4,Act.CD8,Tem.CD4,Tem.CD8,MDSC,Treg,T cells,CD8 T cells,Cytotoxic lymphocytes,NK cells,B lineage,Monocytic lineage,Myeloid dendritic cells,Neutrophils,Endothelial cells,Fibroblasts,Danaher.B.cells,Danaher.CD45,Danaher.CD8.T.cells,Danaher.Cytotoxic.cells,Danaher.DC,Danaher.Exhausted.CD8,Danaher.Macrophages,Danaher.Mast.cells,Danaher.Neutrophils,Danaher.NK.CD56dim.cells,Danaher.NK.cells,Danaher.T.cells,Danaher.Th1.cells,Danaher.Treg
0.85189,1.26006,0.73617,1.00433,-1.86016,-0.76241,-0.1352,0.604,0.512,-2.49125,-0.690125,3.702857,-1.7188,1.5944,2.518091,7.669,-2.05,2.29,1.42,0.66,-0.603,0.608,-0.715,2.74,-0.151,-7.599,-1.381,0.667,-0.101,1.561
1.45063,1.93873,1.07114,1.56102,-1.99281,-1.05759,2.542567,3.8147,3.03552,0.20435,3.62805,4.552586,1.52566,0.372707,4.094539,8.933412,2.704,5.017,4.422,4.013,2.561,2.439,2.536,3.038,-1.198,-3.372,1.858,3.736,2.124,2.655
1.25802,1.89299,0.91451,1.52385,-2.20074,-1.23655,2.59536,3.9231,3.86482,0.41745,3.000925,5.000771,0.66784,0.913913,3.179967,6.886913,2.123,5.492,5.366,5.183,1.367,3.906,2.776,1.236,0.133,-2.714,2.677,4.089,3.553,3.767
1.60713,1.80792,1.04281,1.57157,-2.18712,-1.5465,2.609693,2.6778,2.72,-0.903975,1.696287,5.2666,2.0641,0.643713,3.03343,8.863437,1.893,5.031,3.928,3.687,3.138,3.103,2.71,2.699,0.277,-3.491,1.256,3.543,2.43,4.79
1.04093,1.47382,0.86693,1.01213,-1.38088,-0.70074,1.247327,2.5572,1.16608,-2.12525,0.249512,3.102743,-0.28074,-0.753753,2.734724,8.376238,-0.79,3.165,3.263,2.03,0.792,0.743,0.952,2.55,-3.129,-7.128,-0.491,2.226,0.738,2.167
0.6464,1.12031,1.05105,1.0478,-1.38787,-1.0151,0.160947,-0.1509,-0.15458,-1.86775,-0.673963,3.154686,-0.9623,0.268167,3.670167,9.290038,-2.046,2.569,0.743,0.849,0.788,0.232,1.116,4.301,-3.371,-4.758,-1.549,0.777,-1.126,1.986
1.0477,1.70399,0.85052,1.30613,-2.00193,-0.78227,1.890513,2.5324,1.93592,-1.019325,3.463437,4.403757,1.33164,1.672713,3.081152,7.600925,2.052,4.133,3.393,2.522,1.328,1.586,1.379,3.042,-1.938,-4.015,1.526,2.843,1.782,3.326
1.38071,2.10384,1.20242,1.75954,-2.22371,-1.4311,3.473413,4.6224,4.7539,0.81215,4.114262,4.735543,3.4127,1.533753,5.333188,9.551813,2.506,5.458,5.257,4.783,4.378,3.294,2.645,2.824,-1.76,-0.969,2.905,4.479,2.841,4.554
0.95088,1.5414,1.05025,1.35048,-1.69851,-0.99682,1.977493,2.0008,1.9192,-0.5018,1.64805,3.726471,2.22428,0.945447,3.830539,9.886138,1.35,4.137,3.113,2.799,1.671,1.611,1.572,4.886,-2.191,-4.258,0.792,2.991,1.279,4.117
0.7144,1.34444,1.07914,1.39201,-1.87964,-1.12802,0.639373,0.6813,0.927,-3.181,-0.624712,4.622143,-0.55604,0.942273,3.614509,9.867625,-1.286,3.906,2.051,1.78,0.556,1.924,2.71,3.996,-0.133,-6.754,-3.285,1.471,0.743,3.058
0.95963,1.52608,0.84544,1.26965,-1.80418,-0.93456,0.736633,2.1026,1.49132,-2.182775,-0.401588,4.0127,-0.06812,-0.28522,3.050755,8.555663,-1.58,3.084,2.765,2.255,0.885,0.658,0.78,2.773,-2.313,-2.384,0.386,1.794,0.382,2.348
1.29013,1.46604,1.03737,1.30487,-1.67316,-0.84335,1.103953,3.0544,2.04362,-1.47185,0.9387,4.329643,1.11736,1.304107,4.624588,8.001262,-0.391,3.996,3.202,2.336,2.355,1.281,1.976,0.912,-1.01,-5.077,0.476,1.876,0.403,1.922
1.64388,1.54793,1.01672,1.43024,-1.7864,-1.12754,1.56778,2.7884,1.83798,-0.575925,0.553113,4.963814,0.1847,1.00052,2.672979,7.324912,0.108,4.02,3.675,3.288,2.409,2.123,2.317,-0.781,0.7,-2.773,2.058,2.467,1.402,3.315
1.28026,1.80812,0.95994,1.50909,-2.11928,-1.21158,2.384133,3.415,2.7305,-0.02945,2.325875,5.076757,1.99562,0.74866,2.822421,8.75105,1.867,5.105,4.392,4.054,2.836,2.784,2.728,3.233,-0.134,-1.92,1.908,3.768,2.679,3.919
1.55904,2.07754,1.18883,1.88447,-2.66769,-1.7446,3.46386,3.7799,3.5629,0.93725,3.0569,6.084457,1.30762,0.822367,3.491755,9.27115,2.929,6.408,5.083,4.798,4.114,4.079,4.442,2.144,0.718,-1.215,2.477,4.859,3.458,4.872
