CytScore.log2,Taxane.MitosisScore,Taxane.CeramideScore,Taxane.FinalScore,STAT1.gsva,GGI.gsva,GEP.gsva,ESC.gsva,STAT1.ssgsea.norm,GGI.ssgsea.norm,GEP.ssgsea.norm,ESC.ssgsea.norm,STAT1.ssgsea.notnorm,GGI.ssgsea.notnorm,ESC.ssgsea.notnorm,Swanton.MitosisScore,Swanton.CeramideScore,Swanton.PaclitaxelScore,B2M,TAP1,TAP2,HLA.A,HLA.B,HLA.C,HLA.DPA1,HLA.DPB1,HLA.E,HLA.F,PD.1,CTLA.4,LAG3,TIGIT,TIM3,PD.L1,PD.L2,CD27,ICOS,IDO1,TIDE.Dysfunction,TIDE.Exclusion,TIDE.MDSC,TIDE.CAF,TIDE.TAM.M2,TIDE.IFNG,TIDE.CD274,TIDE.CD8
2.066,3.327455825,2.955249741,0.372206084,-0.181,0.319,-0.519,0.156,1.41,1.586,1.439,1.697,20144.253,22654.541,24244.436,3.327455825,2.955249741,0.372206084,4.9122,2.87492,1.07754,4.82698,4.94053,4.91248,2.92701,3.02751,3.84341,2.542,0.1255,0.10701,-1.06235,0.11475,-1.08685,-0.14528,-0.12259,0.70619,-0.1006,-0.36002,0.27,-0.7,0.04,-0.14,0,-2.07,-1.29,-1.75
5.352,3.477028924,3.305733832,0.171295092,0.613,0.355,0.633,0.387,1.611,1.595,1.72,1.725,23011.118,22789.455,24644.274,3.477028924,3.305733832,0.171295092,5.23849,2.78337,1.26691,4.62992,4.91237,4.41089,3.82614,3.8955,4.38732,2.53665,-1.1878,-0.85125,-1.04186,-1.00239,-1.51155,-0.45691,-1.15474,2.30395,0.89138,-1.41001,0.33,-0.36,0.01,-0.07,0,0.1,-0.62,0.85
6.467,3.861502681,4.030199398,-0.168696716,0.616,0.309,0.771,0.162,1.628,1.552,1.79,1.68,23258.366,22170.866,23999.995,3.861502681,4.030199398,-0.168696716,5.02682,3.72125,1.88228,5.33453,5.4716,5.07914,3.47119,3.66269,4.72446,3.17169,-1.90326,-1.21,-2.03039,-1.28025,-1.78802,-0.9584,-0.91578,2.5121,0.80119,-1.60873,0.91,-2.25,-0.07,-0.22,-0.05,1.11,0.59,1.77
4.589,4.263282291,3.16070995,1.102572341,0.612,0.469,0.659,0.297,1.65,1.615,1.744,1.722,23579.386,23072.882,24605.398,4.263282291,3.16070995,1.102572341,5.16276,3.47011,1.94656,4.8207,5.06798,4.63258,3.48823,3.6157,4.08192,2.92513,-1.14621,-1.46498,-1.74792,-1.11701,-1.73799,-1.08518,-1.19764,1.88486,1.28942,-2.77915,0.33,-0.71,0.02,-0.04,-0.09,1.3,0.77,0.39
3.423,4.339670247,3.601735068,0.737935179,-0.48,0.556,-0.44,0.516,1.373,1.641,1.482,1.735,19616.471,23446.483,24794.642,4.339670247,3.601735068,0.737935179,4.2229,2.15734,0.8903,4.02621,4.13535,4.35193,2.40676,2.65596,3.71449,1.72077,-0.06311,-0.12769,-0.33117,-0.28976,-0.83365,0.10323,-0.35258,1.18891,0.11819,-0.36726,-0.37,0.46,0.09,-0.08,0.06,-1.94,-1.65,-0.23
1.941,2.844999652,3.39757442,-0.552574768,-0.675,-0.394,-0.734,-0.444,1.246,1.476,1.32,1.645,17795.832,21084.872,23497.442,2.844999652,3.39757442,-0.552574768,4.58999,2.04149,0.58459,4.48259,4.67119,4.53827,3.08066,3.37794,3.65068,1.54187,0.08861,-0.06698,-0.24792,0.171,-0.96464,0.2594,-0.44065,0.833,-0.2619,0.254,0.5,0.75,0.02,0.06,0.06,-3.08,-1.97,-2.21
3.654,3.03529892,2.801547952,0.233750968,-0.112,-0.226,-0.244,-0.278,1.474,1.536,1.567,1.675,21065.667,21939.031,23934.9,3.03529892,2.801547952,0.233750968,4.43602,2.48232,1.04573,4.24536,4.43896,4.06492,2.98886,3.28155,3.84214,2.21342,-0.73779,-0.37634,-0.72605,-0.56383,-0.98133,-0.22945,-0.32501,1.92991,0.19967,-0.64315,1.05,-1.31,-0.03,-0.17,0.02,-1.42,-1.04,-0.11
5.98,2.048620529,3.966042495,-1.917421966,0.616,-0.526,0.716,-0.348,1.649,1.438,1.789,1.664,23555.94,20539.03,23769.117,2.048620529,3.966042495,-1.917421966,5.63177,3.11468,1.75403,5.1239,5.40247,4.97787,4.03834,4.24862,4.78931,3.0949,-1.44485,-1.91063,-1.2473,-1.50408,-1.66911,-0.85416,-1.37899,2.52887,1.35837,-2.02465,1.7,-0.27,-0.07,0.06,-0.02,0.71,0.11,1.65
3.824,2.924566671,3.652361776,-0.727795105,-0.394,-0.279,-0.218,-0.103,1.411,1.499,1.526,1.673,20159.029,21417.984,23904.927,2.924566671,3.652361776,-0.727795105,4.43529,2.16633,0.8984,4.32062,4.52366,4.59111,2.9637,3.44404,3.9706,2.2006,-0.46006,-0.51344,-0.31338,-0.4958,-1.03208,-0.09111,-0.40677,1.80048,0.27194,-0.33697,1.11,0.83,0.02,0.08,0.06,-1.47,-1.2,-0.36
3.181,2.418737537,3.796495024,-1.377757487,0.048,-0.529,0.055,-0.413,1.453,1.413,1.548,1.634,20764.736,20182.046,23349.728,2.418737537,3.796495024,-1.377757487,4.88038,2.48674,0.77549,4.67047,4.78337,4.66125,3.5661,3.79066,4.02215,2.12894,-0.21226,-0.29542,-1.197,-0.17163,-1.78858,-0.27071,-0.85508,1.12367,0.07538,-0.77851,1.1,0.4,-0.05,0.14,0,-1.01,-0.87,-1.25
